活动类别,持续时间,开始时间,结束时间,备注
分析数据,1m 28s,2月 08 07:23,2月 08 07:24,
睡眠,7h 9m 11s,2月 08 00:13,2月 08 07:23,睡眠时间实际大约6hr1min，睡眠质量68%
入睡时间,13m 1s,2月 08 00:13,2月 08 00:26,对家教第18集有印象的时间
睡前玩手机,1h 11m 55s,2月 07 23:01,2月 08 00:13,"睡前按摩身体

洗拖鞋洗脚，因为感觉脚很臭

发小红书，day30的笔记

看小说的新更新，刷了家教救世主的旧内容。
：忍不住多看了旧内容，差点没忍住就继续刷下去了

睡意差不多，放下手机"
护肤时间,11m 43s,2月 07 22:49,2月 07 23:01,晚间护肤，今天忘了菌菇水湿敷
洗漱,5m 29s,2月 07 22:44,2月 07 22:49,晚间：刷牙，洗脸，洗内裤
护肤时间,5m 33s,2月 07 22:38,2月 07 22:44,晚间护肤，今天忘了菌菇水湿敷
洗澡时间,10m 20s,2月 07 22:28,2月 07 22:38,晚间洗澡
家务,10m 40s,2月 07 22:17,2月 07 22:28,找材料，为明天去会计所问信做准备
与家人的时间,12m 12s,2月 07 22:05,2月 07 22:17,给妈妈按摩
阅读,52m 34s,2月 07 21:12,2月 07 22:05,"听 youtube 分享自己的 driven and habits 

Recommend:  growth mindset and three books

Can’t hurt me

Automic habits

Deep work"
刷app,12m 51s,2月 07 21:00,2月 07 21:12,休息十分钟，学习1hr的奖励
个人提升,1h 2m 19s,2月 07 19:57,2月 07 21:00,回听年度计划课程1-3，并记录方格笔记
意料外玩手机,36m 20s,2月 07 19:21,2月 07 19:57,看b站
家务,15m 47s,2月 07 19:05,2月 07 19:21,腌肉：给鸡腿肉腌制奥尔良口味
刷app,18m 9s,2月 07 18:47,2月 07 19:05,
分析数据,55m 13s,2月 07 17:52,2月 07 18:47,用ipad 自带的number表格分析数据
刷app,1h 0m 9s,2月 07 16:51,2月 07 17:52,玩手机： 吃饭间看视频，饭后刷b站视频
用餐,28m 23s,2月 07 16:51,2月 07 17:19,吃晚饭： 米粉，卤鸡爪，佛手瓜，虾滑，蟹肉炒蛋
烹饪,17m 6s,2月 07 16:34,2月 07 16:51,做晚饭： 鸡蛋炒蟹肉
家务,18m 56s,2月 07 16:15,2月 07 16:34,"帮妈妈发信息，扫小票，打开w2信封

先思考边缘两侧，小心撕开

在打开2 

去掉胶"
分析数据,40m 19s,2月 07 15:35,2月 07 16:15,分析记录早起的睡眠数据
专注前的准备工作,25m 10s,2月 07 15:09,2月 07 15:35,写代码本的summery ， 收拾桌面，填写活动的备注信息。
家务,35m 24s,2月 07 14:34,2月 07 15:09,回复家人的微信信息。鸡腿骨肉分离
复习,28m 0s,2月 07 14:06,2月 07 14:34,复习DD中曲线提醒的内容。和 Anki中的100p
刷app,46m 48s,2月 07 13:19,2月 07 14:06,奖励自己在8pomo之后的学习，还有睡眠规律看鬼灭动漫
总结用时,40m 36s,2月 07 12:37,2月 07 13:18,"Day29: 40mins！ 努力压缩啦。

为什么时间少了？
以A4-obsidian-anki-project的顺序总结
在A4
完成了总结明确了内容分块
在ob写的过程直接列链接，不用去search来找到目标"
上课用时,12m 6s,2月 07 12:25,2月 07 12:37,"day30: 用时1he57mins， 官方1hr12min，相差45mins

Error and exceptions and Json data "
编程用时,2m 51s,2月 07 12:22,2月 07 12:25,day30: 用时1hr22min， 项目search button的功能实现用了33mins
上课用时,10m 38s,2月 07 12:12,2月 07 12:22,"day30: 用时1he57mins， 官方1hr12min，相差45mins

Error and exceptions and Json data "
编程用时,33m 15s,2月 07 11:38,2月 07 12:12,day30: 用时1hr22min， 项目search button的功能实现用了33mins
上课用时,12m 32s,2月 07 11:26,2月 07 11:38,"day30: 用时1he57mins， 官方1hr12min，相差45mins

Error and exceptions and Json data "
编程用时,8m 16s,2月 07 11:18,2月 07 11:26,day30: 用时1hr22min， 项目search button的功能实现用了33mins
上课用时,3m 17s,2月 07 11:14,2月 07 11:18,"day30: 用时1he57mins， 官方1hr12min，相差45mins

Error and exceptions and Json data "
编程用时,16m 13s,2月 07 10:58,2月 07 11:14,day30: 用时1hr22min， 项目search button的功能实现用了33mins
专注前的准备工作,13m 26s,2月 07 10:45,2月 07 10:58,第二轮专注前：喝咖啡、泡血橙茶，记录在此之前的时间的详细信息
睡眠,12m 13s,2月 07 10:32,2月 07 10:45,"饭后躺床上闭眼休息，听影视飓风分享10分钟的视频

为什么
饭后困，两小时专注后，睡眠消除疲劳因子。

所以呢
喝咖啡后的效果更好"
用餐,24m 2s,2月 07 10:08,2月 07 10:32,吃早餐： 虾滑+白菜+煎蛋+火腿，上厕所，洗碗
烹饪,14m 58s,2月 07 09:53,2月 07 10:08,做早饭： 煎蛋煎火腿，煮白菜和虾滑
上课用时,22m 54s,2月 07 09:30,2月 07 09:53,"day30: 用时1he57mins， 官方1hr12min，相差45mins

Error and exceptions and Json data "
编程用时,1m 16s,2月 07 09:29,2月 07 09:30,day30: 用时1hr22min， 项目search button的功能实现用了33mins
上课用时,6m 11s,2月 07 09:23,2月 07 09:29,"day30: 用时1he57mins， 官方1hr12min，相差45mins

Error and exceptions and Json data "
编程用时,9m 14s,2月 07 09:14,2月 07 09:23,day30: 用时1hr22min， 项目search button的功能实现用了33mins
上课用时,6m 5s,2月 07 09:07,2月 07 09:14,"day30: 用时1he57mins， 官方1hr12min，相差45mins

Error and exceptions and Json data "
编程用时,3m 15s,2月 07 09:04,2月 07 09:07,day30: 用时1hr22min， 项目search button的功能实现用了33mins
上课用时,1m 25s,2月 07 09:03,2月 07 09:04,"day30: 用时1he57mins， 官方1hr12min，相差45mins

Error and exceptions and Json data "
编程用时,2m 24s,2月 07 09:00,2月 07 09:03,day30: 用时1hr22min， 项目search button的功能实现用了33mins
上课用时,2m 54s,2月 07 08:57,2月 07 09:00,"day30: 用时1he57mins， 官方1hr12min，相差45mins

Error and exceptions and Json data "
编程用时,6m 10s,2月 07 08:51,2月 07 08:57,day30: 用时1hr22min， 项目search button的功能实现用了33mins
上课用时,39m 22s,2月 07 08:12,2月 07 08:51,"day30: 用时1he57mins， 官方1hr12min，相差45mins

Error and exceptions and Json data "
专注前的准备工作,13m 15s,2月 07 07:58,2月 07 08:12,目标10分钟： 收拾书桌、电脑应用打开
护肤时间,8m 49s,2月 07 07:50,2月 07 07:58,晨间护肤
洗漱,10m 14s,2月 07 07:39,2月 07 07:50,早餐：刷牙洗脸
刷app,18m 45s,2月 07 07:21,2月 07 07:39,"睡醒打开手机刷、记录睡眠情况

刷：小红书发布后的反馈、微信年度计划群对自己笔记的反馈、小说有没更新

睡眠情况： 回忆想得起的部分，反推入睡时间，并记录睡眠质量。"
睡眠,7h 21m 8s,2月 06 23:59,2月 07 07:21,"睡眠时间实际大约6hr15min，睡眠质量69%

闹钟第二响： 用头梳按摩头部

按摩完，打开手机记录睡眠情况"
入睡时间,57m 15s,2月 06 23:59,2月 07 00:56,"躺在床上，闭眼听《更衣人偶》动漫从第一集到第三季一半。就睡着了

睡前有躺在床上刷手机。但是睡意来了，放下手机打开计时，sleep，forest专注。

在脑袋中复现动漫的画面。"
活动类别,持续时间,Percent
睡眠记录,14h 42m 30s,30.6
睡眠记录/睡眠,13h 33m 29s,28.2
睡眠记录/入睡时间+睡眠记录/睡眠,1h 9m 1s,2.4
专注总用时,8h 52m 38s,18.5
专注总用时/学习,7h 15m 38s,15.1
专注总用时/学习/专注前的准备工作,51m 51s,1.8
专注总用时/学习/复习,28m 0s,1.0
专注总用时/学习/个人提升,1h 2m 19s,2.2
专注总用时/学习/阅读,52m 34s,1.8
专注总用时/学习/编程课,4h 0m 54s,8.4
专注总用时/学习/编程课/上课用时,1h 57m 24s,4.1
专注总用时/学习/编程课/编程用时,1h 22m 54s,2.9
专注总用时/学习/编程课/总结用时,40m 36s,1.4
专注总用时/思考,1h 37m 0s,3.4
专注总用时/思考/分析数据,1h 37m 0s,3.4
玩手机,3h 56m 57s,8.2
